time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447450000	19.8177	9.0854	4.54542	1.15183	0.368607	radar	1.06572	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9438	9.32544	4.62294	1.16449	0.360298	lidar	3.36183	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9869	9.54697	4.5468	1.22793	0.471223	radar	2.22495	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.066	9.80141	4.62427	1.26164	0.486531	lidar	1.09767	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1283	10.0547	4.72437	1.28397	0.454417	radar	7.52843	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1672	10.3461	4.84096	1.33723	0.498589	lidar	1.02151	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1777	10.5901	4.81162	1.39989	0.584737	radar	2.27655	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2307	10.8705	4.90039	1.43195	0.587494	lidar	2.12222	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2588	11.1359	4.9726	1.45354	0.546414	radar	4.93991	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2947	11.3688	4.94485	1.47312	0.536123	lidar	0.06256	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2306	11.628	4.90541	1.5767	0.720349	radar	8.67116	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3061	11.8551	4.86213	1.57175	0.663742	lidar	5.60558	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3395	12.0888	4.89833	1.54536	0.489135	radar	4.59073	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3228	12.384	5.00714	1.58482	0.507691	lidar	0.815225	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2679	12.6254	4.9546	1.6592	0.640088	radar	2.52447	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.2988	12.8524	4.89902	1.66345	0.602573	lidar	2.30695	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
